county,population,counts_democrat,percent_democrat,counts_republican,percent_republican,counts_other,percent_other,number_of_precincts,eligible_to_register,registered_voters,precinct_voters,vote_by_mail_voters,total_voters,percent_of_vote_by_mail_voters,precent_turnout_registered,precent_turnout_eligible
Alameda,1636624,499551,74.6,140789,21.0,29567,4.4,570,1132323,961304,87078,595991,683069,87.25,71.06,60.32
Alpine,1086,479,64.9,243,32.9,16,2.2,5,993,954,0,749,749,100.0,78.51,75.43
Amador,41974,7783,34.7,14018,62.6,602,2.6999999999999997,47,28571,26488,2297,20465,22762,89.91,85.93,79.67
Butte,208586,44228,46.8,47179,49.9,3149,3.1999999999999997,132,169890,125088,4014,92092,96106,95.82,76.83,56.57
Calaveras,46496,9181,34.7,16625,62.8,674,2.6,25,36435,33059,4567,22318,26885,83.01,81.32,73.79
Colusa,22016,2431,34.6,4414,62.9,176,2.5,19,13123,10626,0,7122,7122,100.0,67.02,54.27
Contra Costa,1169534,356008,67.3,155308,29.4,17671,3.3,926,799280,722861,71384,467835,539219,86.76,74.6,67.46
Del Norte,26959,4266,40.4,5999,56.8,300,2.9,19,18059,15036,1686,8990,10676,84.21,71.0,59.12
El Dorado,192371,47703,42.6,61109,54.6,3096,2.6999999999999997,165,144157,135300,12521,101502,114023,89.02,84.27,79.1
Fresno,1033698,151628,46.5,165924,50.9,8497,2.4999999999999996,478,649184,513799,63049,267883,330932,80.95,64.41,50.98
Glenn,28320,3260,31.2,6904,66.1,278,2.7,103,19082,13834,956,9598,10554,90.94,76.29,55.31
Humboldt,132324,39800,62.0,21559,33.6,2873,4.4,107,104567,84100,11945,53287,65232,81.69,77.56,62.38
Imperial,182771,26083,48.3,26546,49.1,1409,2.5999999999999996,304,113514,90086,19091,35475,54566,65.01,60.57,48.07
Inyo,18302,4201,46.9,4468,49.9,284,3.0999999999999996,17,14506,10807,1823,7273,9096,79.96,84.17,62.71
Kern,924648,108241,38.2,167879,59.3,7164,2.6,821,566151,458138,49208,237458,286666,82.83,62.57,50.63
Kings,154119,15519,37.4,25074,60.4,915,2.2,128,87280,64617,6757,35241,41998,83.91,65.0,48.12
